Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2015-12-31,51598.39,57460.44,43724.52,46467.38,12088149104
2016-12-31,45701.18,51921.03,41747.01,51754.03,12251891379
2017-12-31,51743.43,66053.82,51608.44,63746.2,13427634275
2018-12-31,63988.33,67933.05,54027.32,57690.5,11362194765
2019-12-31,57494.06,62009.9,54702.14,57832.88,9010334699
2020-12-31,58122.41,59298.22,35588.11,57025.84,15226270956
2021-12-31,57231.39,75018.06,55301.68,69296.26,13644218822
2022-12-31,69667.28,73697.5,45017.5,57462.68,11899562195.419
2023-12-31,57578.13,79548.69,54837.78,78459.91,9251992517.8873
2024-12-31,78685.78,89657.97,73482.75,79577.32,8773546042.1581
